lemma,word,freq
time,time,99890
man,man,94133
way,way,72661
people,people,56252
thing,thing,55522
sir,sir,49188
night,night,44168
day,day,40893
life,life,40629
guy,guy,38893
name,name,32735
money,money,32679
thank,thanks,31789
place,place,30736
kind,kind,30125
lot,lot,29066
year,years,29003
girl,girl,28413
father,father,28279
boy,boy,27021
house,house,26214
baby,baby,25978
dad,dad,25870
mind,mind,24715
car,car,24636
mother,mother,24476
hell,hell,24012
miss,miss,23850
world,world,23216
room,room,22415
morning,morning,22389
woman,woman,22166
mom,mom,21950
friend,friend,21384
job,job,21063
son,son,20949
minute,minute,19252
head,head,18947
matter,matter,18900
idea,idea,18311
family,family,18067
wife,wife,17795
kid,kid,17299
school,school,16989
problem,problem,16833
business,business,16371
mrs,mrs,15858
cause,cause,15812
stuff,stuff,15653
honey,honey,15325
door,door,14895
face,face,14747
second,second,14513
brother,brother,14481
case,case,14403
hand,hand,14262
phone,phone,13756
end,end,13559
doctor,doctor,13461
part,part,13337
deal,deal,13330
town,town,12644
drink,drink,12617
heart,heart,12453
chance,chance,12303
number,number,12288
week,week,12164
point,point,12063
police,police,12044
word,word,12013
fun,fun,12010
bit,bit,11987
game,game,11926
party,party,11890
shoot,shot,11599
ass,ass,11545
water,water,11478
trouble,trouble,11401
couple,couple,11394
eye,eyes,11299
story,story,11260
lady,lady,11071
death,death,11051
fire,fire,10990
hour,hours,10959
gun,gun,10873
rest,rest,10861
person,person,10857
captain,captain,10622
line,line,10515
office,office,10399
dinner,dinner,10336
side,side,10247
question,question,10116
body,body,9972
husband,husband,9935
reason,reason,9858
dog,dog,9835
truth,truth,9801
bed,bed,9543
moment,moment,9539
blood,blood,9492
daddy,daddy,9439
sister,sister,9207
book,book,9026
child,children,8930
war,war,8912
fact,fact,8801
daughter,daughter,8739
city,city,8624
light,light,8425
news,news,8399
month,months,8314
country,country,8254
order,order,7985
food,food,7876
gentleman,gentlemen,7874
luck,luck,7840
hair,hair,7831
music,music,7734
power,power,7600
street,street,7557
team,team,7528
company,company,7507
plan,plan,7432
coffee,coffee,7371
date,date,7218
parent,parents,7177
president,president,7174
air,air,7090
picture,picture,7061
lord,lord,7046
ride,ride,6904
top,top,6805
dream,dream,6798
meeting,meeting,6752
sense,sense,6722
control,control,6662
darling,darling,6613
